# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.87630782746791, Chi^2 = 3.22884087725121
#  q       exp_intensity   model_intensity error
0.45100003 59458.27343750  59481.54904799  4837.52539062
0.45200002 59380.50390625  59490.18299572  4438.39599609
0.45300001 59298.08203125  59478.10792875  4038.19946289
0.45400003 59212.80468750  59480.60722941  4849.52880859
0.45500001 59124.79687500  59468.17669005  4044.13623047
0.45600003 59032.68750000  59447.07189166  4856.02929688
0.45700002 58937.65625000  59431.69496266  7693.13232422
0.45800003 58839.17187500  59393.51283131  6076.61572266
0.45900002 58736.98046875  59368.03975375  4863.42236328
0.46000001 58635.03125000  59332.33859974  4865.53515625
0.46100003 58527.05078125  59304.57877202  5678.29492188
0.46200001 58418.52734375  59255.49793074  4462.88330078
0.46300003 58304.71484375  59204.56643428  4463.80908203
0.46400002 58190.22265625  59152.00416247  5682.27539062
0.46500003 58074.80468750  59104.53943790  4059.42919922
0.46600002 57956.31250000  59054.10267104  4465.82373047
0.46700001 57835.56250000  58974.22399582  4872.06787109
0.46800002 57715.27734375  58910.86928933  5684.37792969
0.46900001 57590.26953125  58859.60064381  4872.13671875
0.47000003 57464.93750000  58773.85850662  4465.88769531
0.47100002 57337.78125000  58714.30405642  4059.51513672
0.47200003 57209.71484375  58626.74424603  4464.93261719
0.47300002 57080.75390625  58543.02866788  4464.28613281
0.47400004 56948.85156250  58451.03461438  4463.36669922
0.47500002 56816.76171875  58371.96216517  4868.06054688
0.47600001 56682.39843750  58287.51365428  5272.31347656
0.47700003 56547.21875000  58187.87511225  4054.43579102
0.47800002 56412.57812500  58107.84252115  4458.56835938
0.47900003 56277.31640625  58007.18886726  4457.16357422
0.48000002 56140.24218750  57903.89299083  4455.57031250
0.48100004 56004.51171875  57799.20820685  4858.95166016
0.48200002 55866.17968750  57703.31128648  6071.25732422
0.48300001 55727.18359375  57596.11620784  4450.37304688
0.48400003 55589.04687500  57486.57574442  4852.92382812
0.48500001 55450.04296875  57382.89507830  4042.30834961
0.48600003 55311.68750000  57268.44763015  4444.57080078
0.48700002 55172.14843750  57160.44266083  5654.04199219
0.48800004 55031.50000000  57053.72398848  4843.87304688
